seat,state,first_name,surname,party_code,party_name,gender,incumbent
Adelaide,SA,Sean,Allwood,UAP,United Australia,M,0
Adelaide,SA,Rebecca,Galdies,GRN,Greens,F,0
Adelaide,SA,Steve,Georganas,ALP,Labor,M,1
Adelaide,SA,Amy,Grantham,LIB,Liberal,F,0
Adelaide,SA,Matthew,McMillan,FUS,Fusion,M,0
Aston,VIC,Ryan,Bruce,TNL,New Liberals,M,0
Aston,VIC,Asher,Cookson,GRN,Greens,M,0
Aston,VIC,Mary,Doyle,ALP,Labor,F,0
Aston,VIC,Rebekah,Spelman,UAP,United Australia,F,0
Aston,VIC,Alan,Tudge,LIB,Liberal,M,1
Ballarat,VIC,Ben,Green,LIB,Liberal,M,0
Ballarat,VIC,Chris,Kelly,GAP,Great Australian Party,M,0
Ballarat,VIC,Catherine,King,ALP,Labor,F,1
Ballarat,VIC,Julia,McGrath,LDP,Liberal Democrats,F,0
Ballarat,VIC,Terri,Pryse-Smith,UAP,United Australia,F,0
Banks,NSW,David,Coleman,LIB,Liberal,M,1
Banks,NSW,Diane,Markantonakis,TNL,New Liberals,F,0
Banks,NSW,Marika,Momircevski,UAP,United Australia,F,0
Banks,NSW,Isaac,Nasedra,GRN,Greens,M,0
Banks,NSW,Zhi,Soon,ALP,Labor,M,0
Barker,SA,Rosa,Hillam,GRN,Greens,F,0
Barker,SA,Tony,Pasin,LIB,Liberal,M,1
Barker,SA,David,Swiggs,UAP,United Australia,M,0
Barton,NSW,Linda,Burney,ALP,Labor,F,1
Barton,NSW,Dimitri,Honos,UAP,United Australia,M,0
Barton,NSW,Phillip,Pollard,ON,One Nation,M,0
Barton,NSW,Taylor,Vandijk,GRN,Greens,F,0
Bass,TAS,Bridget,Archer,LIB,Liberal,F,1
Bass,TAS,Melanie,Davy,ON,One Nation,F,0
Bass,TAS,Ross,Hart,ALP,Labor,M,0
Bass,TAS,Cecily,Rosol,GRN,Greens,F,0
Bass,TAS,Bob,Salt,JLN,Jacqui Lambie Network,M,0
Bass,TAS,Kyle,Squibb,UAP,United Australia,M,0
Bean,ACT,Jamie,Christie,IND,Independent,M,0
Bean,ACT,Jane,Hiatt,LIB,Liberal,F,0
Bean,ACT,Tracey,Page,UAP,United Australia,F,0
Bean,ACT,Kathryn,Savery,GRN,Greens,F,0
Bean,ACT,David,Smith,ALP,Labor,M,1
Bendigo,VIC,Matthew,Bansemer,LDP,Liberal Democrats,M,0
Bendigo,VIC,Lisa,Chesters,ALP,Labor,F,1
Bendigo,VIC,Ben,Mihail,ON,One Nation,M,0
Bendigo,VIC,Megan,Purcell,LIB,Liberal,F,0
Bendigo,VIC,Cate,Sinclair,GRN,Greens,F,0
Bendigo,VIC,Elijah,Suares,UAP,United Australia,M,0
Bennelong,NSW,John,August,FUS,Fusion,M,0
Bennelong,NSW,Rhys,Collyer,UAP,United Australia,M,0
Bennelong,NSW,Kyinzom,Dhongdue,DA,Democratic Alliance,F,0
Bennelong,NSW,Simon,Kennedy,LIB,Liberal,M,0
Bennelong,NSW,Jerome,Laxale,ALP,Labor,M,0
Bennelong,NSW,Eric,Zhang,TNL,New Liberals,M,0
Berowra,NSW,Brendan,Clarke,FUS,Fusion,M,0
Berowra,NSW,Julian,Leeser,LIB,Liberal,M,1
Berowra,NSW,Christopher,Martinic,UAP,United Australia,M,0
Berowra,NSW,Tania,Salitra,GRN,Greens,F,0
Berowra,NSW,Nicholas,Samios,LDP,Liberal Democrats,M,0
